n,p,v,corpus
付け,を,行う,jnlp
こと,と,する,jnlp
対象,と,なる,jnlp
閾値,を,満足する,jnlp
近く,に,存在する,jnlp
物,を,見なす,jnlp
詞,と,見なす,jnlp
候補,を,する,jnlp
詞,と,する,jnlp
名詞,に,掛かる,jnlp
属性,を,表現する,jnlp
値,と,なる,jnlp
範囲,が,抽出出来る,jnlp
可能性,が,ある,jnlp
値,を,用いる,jnlp
意味,が,ある,jnlp
閾値,を,設けない,jnlp
コーパス,から,抽出する,jnlp
曖昧性,を,押さえる,jnlp
率,が,向上する,jnlp
こと,を,示す,jnlp
曖昧性,を,押さえる,jnlp
曖昧性,を,表現する,jnlp
構造,で,表現する,jnlp
こと,と,する,jnlp
内部構造,を,決定する,jnlp
率,が,なる,jnlp
疑問,が,残る,jnlp
結果,を,利用する,jnlp
解析,を,行う,jnlp
精度,を,調べる,jnlp
共,に,保たれる,jnlp
其れ,に,答える,jnlp
開発者,が,行う,jnlp
評価,を,行う,jnlp
設問,を,付加する,jnlp
例文,に,付加する,jnlp
結果,を,評価する,jnlp
過程,で,される,jnlp
必要,と,される,jnlp
疑問文,に,答える,jnlp
システム,を,評価する,jnlp
評価,が,変わる,jnlp
対象,に,する,jnlp
記事,を,する,jnlp
対象,に,する,jnlp
つ,を,作成する,jnlp
対象,と,する,jnlp
用例,を,検索する,jnlp
状態,を,調節する,jnlp
述部,が,生成出来る,jnlp
形態,を,取る,jnlp
こと,を,行う,jnlp
観点,で,分析する,jnlp
以下,に,述べる,jnlp
項,を,付与する,jnlp
文脈,に,出現する,jnlp
詞,と,認め得る,jnlp
名詞句,が,出現する,jnlp
場合,が,ある,jnlp
目,で,省略される,jnlp
表現,が,タグ付与される,jnlp
詞,と,なり得る,jnlp
表現,を,把握する,jnlp
作業者,が,把握する,jnlp
両方,から,見る,jnlp
我々,が,行う,jnlp
同時,に,タグ付与する,jnlp
関係,に,ある,jnlp
つ,が,タグ付与される,jnlp
関係,に,ある,jnlp
タグ,が,付与される,jnlp
例,に,戻る,jnlp
表現,に,タグ付与する,jnlp
単語,を,分類する,jnlp
カテゴリー,に,分類する,jnlp
研究,が,ある,jnlp
crf,を,用いる,jnlp
構造,に,なる,jnlp
単語,を,分類する,jnlp
カテゴリー,に,分類する,jnlp
語,を,分類する,jnlp
カテゴリー,に,分類する,jnlp
手法,を,提案する,jnlp
情報,を,利用する,jnlp
学習,を,行う,jnlp
法,で,決定する,jnlp
クラス,を,決定する,jnlp
一意,に,決定する,jnlp
此処,で,用いる,jnlp
上,に,ある,jnlp
名,を,用いる,jnlp
作成,を,する,jnlp
目的,と,する,jnlp
手法,で,分類する,jnlp
語,を,分類する,jnlp
カテゴリー,に,分類する,jnlp
素性,に,加える,jnlp
前章,で,述べる,jnlp
本稿,で,説明する,jnlp
単位,で,出力する,jnlp
結果,を,出力する,jnlp
方針,で,記述する,jnlp
結果,と,認められない,jnlp
等,を,減ずる,jnlp
設定,を,行う,jnlp
3,で,示す,jnlp
曖昧性,を,押さえる,jnlp
システム,を,適用する,jnlp
アプリケーション,に,適用する,jnlp
こと,を,考える,jnlp
方法,で,実現する,jnlp
解消,を,実現する,jnlp
方向,を,持たない,jnlp
位置,を,変えられる,jnlp
位置,を,変える,jnlp
こと,が,表される,jnlp
物事,が,存在する,jnlp
こと,を,表す,jnlp
複数形,に,する,jnlp
方針,に,決定する,jnlp
関係,を,表す,jnlp
構造,を,する,jnlp
構造,に,する,jnlp
解析,を,する,jnlp
単文,を,考える,jnlp
区切り,を,表す求める,jnlp
語尾,に,分割される,jnlp
ボトムアップ,に,付与する,jnlp
構造,を,付与する,jnlp
手順,に,なる,jnlp
情報,に,含まれ易い,jnlp
情報,を,抽出する,jnlp
特徴,を,纏める,jnlp
分布,を,示す,jnlp
教員,を,指す,jnlp
タスク,に,参加する,jnlp
グループ,で,する,jnlp
システム,に,する,jnlp
普段,から,する,jnlp
仕事,を,する,jnlp
こと,を,意味する,jnlp
こと,を,指す,jnlp
間,に,見る,jnlp
関係性,を,見る,jnlp
印象,を,受ける,jnlp
アノテータ,が,属する,jnlp
グループ,に,属する,jnlp
実際,に,行う,jnlp
アノテーション,を,行う,jnlp
傾向,を,把握する,jnlp
パラメーター,を,選択する,jnlp
観点,から,選択する,jnlp
物,を,用意する,jnlp
重み,を,決める,jnlp
実験,を,通す,jnlp
本文,で,用いられる,jnlp
表記,を,含む,jnlp
表記,に,含む,jnlp
人,が,参照する,jnlp
情報,が,網羅する,jnlp
本文,に,現れる,jnlp
単語,を,網羅する,jnlp
確認,を,行う,jnlp
同定,を,する,jnlp
目的,と,する,jnlp
反映,を,意図しない,jnlp
変換,に,用いる,jnlp
索引,で,採用される,jnlp
表記,を,採用する,jnlp
語,が,持つ,jnlp
性,を,持つ,jnlp
本,を,読む,jnlp
本,を,読む,jnlp
事象,を,取り上げる,jnlp
判断,を,下す,jnlp
判断,を,下す,jnlp
特殊性,を,表す,jnlp
構造,と,見る,jnlp
構成要素,で,構成する,jnlp
一部分,を,構成する,jnlp
度,が,出す,jnlp
結果,を,出す,jnlp
差,が,出ない,jnlp
F値,に,ある,jnlp
差,が,ある,jnlp
方,が,示す,jnlp
性能,を,示す,jnlp
F値,に,ある,jnlp
差,が,ある,jnlp
方,が,示す,jnlp
性能,を,示す,jnlp
acq,で,ある,jnlp
ドキュメント,が,ある,jnlp
数,が,偏る,jnlp
平均,で,比較する,jnlp
方,が,反映する,jnlp
性能,を,反映する,jnlp
単語,を,する,jnlp
集合,と,する,jnlp
方法,と,比較する,jnlp
毎,に,異なる,jnlp
結果,に,なる,jnlp
方法,を,比較する,jnlp
重み付け,を,行う,jnlp
変化,を,調査する,jnlp
モデル,が,行う,jnlp
重み付け,を,行う,jnlp
率,が,向上する,jnlp
率,が,減少する,jnlp
変化,が,見られない,jnlp
機能語,を,使用しない,jnlp
重み付け,を,行う,jnlp
率,が,向上する,jnlp
率,が,減少する,jnlp
変化,が,見られない,jnlp
性,を,調査する,jnlp
検定,を,行う,jnlp
重み付け,を,行う,jnlp
間,に,確認される,jnlp
結果,を,示す11,jnlp
パターン,で,見られない,jnlp
手法,を,使用する,jnlp
単語,が,なる,jnlp
タスク,を,解く,jnlp
手掛かり,と,なる,jnlp
こと,が,分かる,jnlp
構造,を,取る,jnlp
放射線,を,吸収する,jnlp
一般性,を,持つ,jnlp
サプリ,を,取る,jnlp
聞き手,に,促す,jnlp
行動,を,促す,jnlp
此れ,を,踏まえる,jnlp
タイプ,を,反映する,jnlp
中,に,出現する,jnlp
表記,を,する,jnlp
表記,に,従う,jnlp
中,に,掲載される,jnlp
こと,を,意味する,jnlp
表記,を,採用する,jnlp
思い込み,が,外れる,jnlp
次,に,示す,jnlp
信頼度,を,記述する,jnlp
関係,を,判定する,jnlp
規則,を,自動抽出する,jnlp
手法,を,提案する,jnlp
コーパス,を,分析する,jnlp
そこ,に,含まれる,jnlp
表現,を,網羅する,jnlp
素性,を,設定する,jnlp
漏れ,が,ある,jnlp
此れ,を,収集する,jnlp
 ,を,用いる,jnlp
スコープ,が,ある,jnlp
関係,に,ある,jnlp
関係,を,分析する,jnlp
関係,を,考慮する,jnlp
規則,を,学習する,jnlp
傾向,に,応じる,jnlp
表現,を,分類する,jnlp
傾向,が,見られる,jnlp
データ,から,行う,jnlp
学習,を,行う,jnlp
規則,に,含まれる,jnlp
恣意性,が,含まれる,jnlp
実際,に,用いられる,jnlp
情報検索,で,用いられる,jnlp
単位,に,なる,jnlp
以上,と,なる,jnlp
行列,に,なる,jnlp
一気,に,行う,jnlp
分解,を,行う,jnlp
最初,に,行う,jnlp
行列,で,行う,jnlp
分解,を,行う,jnlp
その後,に,行う,jnlp
追加,に,従う,jnlp
更新,を,行う,jnlp
in,と,よばれる,jnlp
そこ,から,行う,jnlp
分解,を,行う,jnlp
選択,に,使う,jnlp
手法,を,使う,jnlp
LSI,が,利用される,jnlp
分解,を,行う,jnlp
情報検索,で,現れる,jnlp
svdpackc,を,利用する,jnlp
役割,を,果たす,jnlp
変化,を,見る,jnlp
徐々,に,減少する,jnlp
傾向,が,確認される,jnlp
傾向,を,鑑みる,jnlp
スコア,に,見られる,jnlp
相関,が,見られる,jnlp
スコア,を,測定記録する,jnlp
変化,を,見る,jnlp
可能性,が,ある,jnlp
自身,が,比較する,jnlp
目的,で,計測する,jnlp
スコア,を,計測する,jnlp
結果,から,算出される,jnlp
スコア,に,基づく,jnlp
変化,を,把握する,jnlp
相関,が,見られる,jnlp
定数,が,なる,jnlp
一定,と,なる,jnlp
必要,が,ある,jnlp
システム,を,用いる,jnlp
測定,を,行う,jnlp
定数,を,確認する,jnlp
必要,が,ある,jnlp
nn,に,基づく,jnlp
収束,を,避ける,jnlp
側,から,学習する,jnlp
手法,を,する,jnlp
基,に,する,jnlp
⟩,に,置き換える,jnlp
関数,に,従う,jnlp
エポック,で,終える,jnlp
学習,を,終える,jnlp
学習,を,避ける,jnlp
要素,を,決定する,jnlp
制約,と,なる,jnlp
要素,が,修飾する,jnlp
対象,を,修飾する,jnlp
要素,が,修飾しない,jnlp
名詞,を,修飾しない,jnlp
事実,に,基づく,jnlp
名詞,が,示す,jnlp
在り方,を,修飾する,jnlp
手法,で,認定する,jnlp
結果,を,補足する,jnlp
纏まり,が,認定出来る,jnlp
中,から,示す,jnlp
状況,を,示す,jnlp
6,に,示す,jnlp
こと,を,示す,jnlp
並び,が,伸びる,jnlp
横,に,伸びる,jnlp
窓幅,で,認定される,jnlp
傾向,が,見る,jnlp
窓幅,で,認定される,jnlp
位置,が,認定される,jnlp
署名,を,見る,jnlp
記者,が,分担する,jnlp
記者,が,担当する,jnlp
話題,に,対応する,jnlp
署名,が,異なる,jnlp
一致,と,いえる,jnlp
ユーザー,が,行う,jnlp
発話,を,行う,jnlp
発話,を,認識する,jnlp
常,に,認識する,jnlp
時点,で,終了する,jnlp
ユーザー,が,行う,jnlp
発話,を,行う,jnlp
結果,に,従う,jnlp
ターン,が,始まる,jnlp
表,を,考える,jnlp
W,が,用いられる,jnlp
コンテキスト,で,用いられる,jnlp
毎,に,用意する,jnlp
表,を,用意する,jnlp
表,を,持つ,jnlp
場合,が,ある,jnlp
コンテキスト,を,捕らえる,jnlp
オートマトン,を,用いる,jnlp
文,を,受理する,jnlp
オートマトン,を,構成する,jnlp
箇所,に,現れる,jnlp
可能性,が,ある,jnlp
毎,に,作成する,jnlp
表,を,作成する,jnlp
コーパス,から,構成する,jnlp
オートマトン,を,構成する,jnlp
アルゴリズム,を,用いる3節参照,jnlp
差異,が,影響する,jnlp
値,に,影響する,jnlp
分析,を,行う,jnlp
手形,を,表現する,jnlp
手形,を,表現する,jnlp
五指,を,折り曲げる,jnlp
差異,が,反映される,jnlp
類似度,に,反映される,jnlp
動作,を,示す,jnlp
差異,が,反映される,jnlp
計算,に,反映される,jnlp
表現,に,保存する,jnlp
情報,を,保存する,jnlp
表現力,が,及ぼす,jnlp
悪影響,を,及ぼす,jnlp
情報,が,失われる,jnlp
こと,を,述べる,jnlp
英語,に,訳す,jnlp
英語,を,する,jnlp
元,に,する,jnlp
原意,と,異なる,jnlp
情報,と,組み合わせる,jnlp
原意,を,汲む,jnlp
実現,を,目指す,jnlp
語,を,拡張する,jnlp
文,を,利用する,jnlp
優先順位,が,なる,jnlp
セット,を,用いる,jnlp
データ,を,獲得する,jnlp
向上,に,貢献出来る,jnlp
研究,を,進める,jnlp
様,に,感謝致す,jnlp
実験,を,手伝う,jnlp
修正,を,手伝う,jnlp
メンバー,に,感謝致す,jnlp
人手,で,作成する,jnlp
関係,を,分析する,jnlp
解答,を,結び付ける,jnlp
%,が,見なす,jnlp
推論,を,含む,jnlp
言い替え,と,見なす,jnlp
関係,を,把握する,jnlp
要約,を,避ける,jnlp
中,で,指す,jnlp
内容,を,指す,jnlp
必要,が,ある,jnlp
内容,を,示す,jnlp
組,を,分析する,jnlp
対,を,結び付ける,jnlp
手法,が,提案される,jnlp
結果,を,分析する,jnlp
不備,を,改める,jnlp
形,で,記述する,jnlp
方法,を,考案する,jnlp
必要,が,ある,jnlp
テキスト,に,アノテーションする,jnlp
情報,を,アノテーションする,jnlp
コーパス,を,する,jnlp
作業,を,進める,jnlp
こと,を,計画する,jnlp
コーパス,を,利用する,jnlp
実際,に,検出する,jnlp
焦点,を,検出する,jnlp
システム,を,実装する,jnlp
ヒューリスティック,を,利用する,jnlp
焦点,を,検出する,jnlp
システム,を,提案する,jnlp
情報,を,活用する,jnlp
精度,で,検出出来る,jnlp
焦点,を,検出出来る,jnlp
構築,を,目指したい,jnlp
判定,が,進行する,jnlp
判定,が,行われる,jnlp
辞書,を,用いる,jnlp
表現,を,同定する,jnlp
関係,に,ある,jnlp
組,を,同定する,jnlp
経験,から,課する,jnlp
制約,を,課する,jnlp
情報,に,基づく,jnlp
例,を,示す,jnlp
会堂,で,会談する,jnlp
首相,と,会談する,jnlp
家宝,が,会談する,jnlp
康夫,と,会談する,jnlp
家宝,が,会談する,jnlp
会堂,で,会談する,jnlp
康夫,が,会談する,jnlp
会堂,で,会談する,jnlp
組,が,有する,jnlp
さん,が,歩く,jnlp
横浜,を,歩く,jnlp
さん,と,遭遇する,jnlp
山田,が,歩く,jnlp
横浜,を,歩く,jnlp
山田,が,遭遇する,jnlp
鈴木,と,遭遇する,jnlp
鈴木,が,いる,jnlp
横浜,に,いる,jnlp
組,が,有する,jnlp
コスト,が,依存する,jnlp
規模,に,依存する,jnlp
こと,に,着目する,jnlp
度,を,推定する,jnlp
事前,に,推定する,jnlp
仮説,に,含まれる,jnlp
仮説,を,除外する,jnlp
集合,から,除外する,jnlp
最適化,に,掛かる,jnlp
時間,を,短縮する,jnlp
適用範囲,を,広げる,jnlp
率,を,上げる,jnlp
文法,を,構築する,jnlp
節,で,上げる,jnlp
クラス,を,仮定する,jnlp
等,に,付与する,jnlp
項,を,付与する,jnlp
繋辞,を,仮定する,jnlp
情報,を,付与する,jnlp
参考,に,なる,jnlp
動向,を,概観する,jnlp
性,で,繋がる,jnlp
解釈,を,選択する,jnlp
メカニズム,を,モデル化する,jnlp
課題,を,残す,jnlp
理論,に,基づく,jnlp
定式化,を,提案する,jnlp
仮説,を,呼ぶ,jnlp
コーパス,で,検証される,jnlp
現象,を,説明する,jnlp
理論,で,説明する,jnlp
研究,が,増える,jnlp
仮説,が,有する,jnlp
言語,を,跨ぐ,jnlp
一般性,を,有する,jnlp
上,で,検証する,jnlp
認識,を,行う,jnlp
事前,に,行う,jnlp
節,で,述べる,jnlp
抽出,で,定義される,jnlp
必要,が,ある,jnlp
認識,に,失敗する,jnlp
可能性,が,ある,jnlp
対象,と,なる,jnlp
ドメイン,に,特化する,jnlp
手法,が,求められる,jnlp
率,を,用いる,jnlp
中,から,検索する,jnlp
必要,と,する,jnlp
重要性,が,認識される,jnlp
文字列,を,検索する,jnlp
検索,が,求められる,jnlp
精度,を,高める,jnlp
考察,で,得られる,jnlp
キーターム,と,する,jnlp
問題,を,解決する,jnlp
周り,に,補う,jnlp
ターム,を,補う,jnlp
ポイント,に,絞る,jnlp
質問,に,ナビゲーション出来る,jnlp
実験,で,検証する,jnlp
此れ,を,補う,jnlp
システム,から,する,jnlp
問い掛け,を,する,jnlp
方略,と,なる,jnlp
ターム,に,着目する,jnlp
必要,が,ある,jnlp
価値,に,基づく,jnlp
表現,を,含む,jnlp
中,で,表す,jnlp
境界,を,表す,jnlp
構成素,と,なる,jnlp
種類,が,なる,jnlp
検定,に,用いる,jnlp
効率,が,低下する,jnlp
ルール,を,行う,jnlp
検定,が,行う,jnlp
氏,を,する,jnlp
はじめ,と,する,jnlp
様,に,感謝する,jnlp
表,を,含む,jnlp
訳,から,選択する,jnlp
木,を,選択する,jnlp
訳,が,含まれる,jnlp
中,に,含まれる,jnlp
例,を,用いる,jnlp
学習,に,用いる,jnlp
自体,が,招く,jnlp
低下,を,招く,jnlp
可能性,が,ある,jnlp
中,に,含まれる,jnlp
訳,が,含まれる,jnlp
文,を,削除する,jnlp
全体,から,選択する,jnlp
学習,に,用いる,jnlp
文,を,選択する,jnlp
手法,を,提案する,jnlp
値,が,越える,jnlp
閾値,を,越える,jnlp
学習,に,使用する自動評価値,jnlp
全体,から,選択する,jnlp
精度,を,改善する,jnlp
木,を,選択する,jnlp
検討,を,進める,jnlp
文,を,見なす,jnlp
文字列,と,見なす,jnlp
文字列,を,考慮する,jnlp
連接,を,取り込む,jnlp
際,に,取り込む,jnlp
アプローチ,が,ある,jnlp
連接,を,考慮する,jnlp
アルゴリズム,を,使用する,jnlp
利点,が,ある,jnlp
値,と,なる,jnlp
サイズ,を,縮小する,jnlp
必要,が,ある,jnlp
文字列,を,考慮する,jnlp
等,が,提案する,jnlp
方法,が,あるZhangetal2006,jnlp
ツリー,を,利用する,jnlp
文字列,を,纏める,jnlp
つ,に,纏める,jnlp
サイズ,を,縮小する,jnlp
方法,を,提案する,jnlp
マシン,を,利用する,jnlp
文字列,を,考慮する,jnlp
性能,を,与える,jnlp
こと,を,示す,jnlp
データ,を,得る,jnlp
制限,を,課する,jnlp
列,を,用いる,jnlp
此れ,を,分割する,jnlp
双方,が,ある,jnlp
辞書,に,ある,jnlp
此れ,を,認める,jnlp
共起,と,認める,jnlp
此れ,を,変換する,jnlp
共起,に,変換する,jnlp
双方,が,対応する,jnlp
中,で,対応する,jnlp
概念,に,対応する,jnlp
概念,が,共起する,jnlp
シソーラス,に,登録される,jnlp
限定,が,加わる,jnlp
共起,を,数える,jnlp
共,に,含む,jnlp
単語,を,含む,jnlp
資源,から,推定出来る,jnlp
性質,を,推定出来る,jnlp
知識,を,入れる,jnlp
性質,を,推定する,jnlp
新旧,を,推定出来る,jnlp
運動,から,推定出来る,jnlp
可能性,を,示唆する,jnlp
そこ,で,収集する,jnlp
意見,を,収集する,jnlp
学生,に,書かせる,jnlp
意見,を,書かせる,jnlp
方法,で,分析する,jnlp
内容,を,分析する,jnlp
改善,に,反映させない,jnlp
学生,に,送らせる,jnlp
メール,を,使う,jnlp
感想文,を,送らせる,jnlp
文章,を,分類する,jnlp
評価基準,を,使う,jnlp
方法,で,評価する,jnlp
授業,を,評価する,jnlp
考察,を,行う,jnlp
物体,を,参照する,jnlp
節,で,詳述する,jnlp
表現,に,含まれる,jnlp
時間,が,増大する,jnlp
問題,が,ある,jnlp
アルゴリズム,に,基づく,jnlp
問題,を,変換する,jnlp
説明,を,求める,jnlp
リテラル,が,含まれる,jnlp
表現,に,含まれる,jnlp
リテラル,を,する,jnlp
もと,に,する,jnlp
説明,に,なりえない,jnlp
構成要素,が,入り込む,jnlp
時間,が,増大する,jnlp
生成,を,ガイドする,jnlp
低下,が,起きる,jnlp
効率,が,低下する,jnlp
問題,が,起こる,jnlp
利点,が,ある,jnlp
本当,に,ある,jnlp
環境,が,整う,jnlp
未登録語,を,なる,jnlp
精度,に,なる,jnlp
此れ,を,利用する,jnlp
発見,に,利用する,jnlp
分布,を,示す,jnlp
 ,に,示す,jnlp
%,に,当たる,jnlp
点,で,達しない,jnlp
合格点,に,達しない,jnlp
点,と,上回る,jnlp
合格点,を,上回る,jnlp
評価点,を,与えられる,jnlp
数,が,変化する,jnlp
テスト,で,変化する,jnlp
点,と,なる,jnlp
点,と,なる,jnlp
点,と,なる,jnlp
全体,を,覆う,jnlp
木,が,生成できず,jnlp
木,が,生成出来る,jnlp
こと,に,よる,jnlp
品詞,が,なる,jnlp
品詞,を,決定する,jnlp
右側,に,ある,jnlp
意味,を,限定する,jnlp
意味,を,継承する,jnlp
例,を,示す,jnlp
目次,から,飛ぶ,jnlp
各章,に,飛ぶ,jnlp
目次,を,追う,jnlp
順,に,追う,jnlp
ジャンプ,で,参照する,jnlp
ウインドー,が,定義出来る,jnlp
定数,を,考える,jnlp
こと,に,ある,jnlp
確率,を,推定する,jnlp
定数,を,考える,jnlp
量,が,足りる,jnlp
常,に,足りる,jnlp
侭,で,考える,jnlp
定数,を,考える,jnlp
例,に,属する,jnlp
評価,を,行う,jnlp
指標,を,用いる,jnlp
精度,を,示す,jnlp
ラベル,を,用いない,jnlp
モデル,に,比べる,jnlp
こと,を,意味する,jnlp
分類,に,与えられる,jnlp
入力,が,与えられる,jnlp
汎化,を,行わない,jnlp
精度,を,実現する,jnlp
役割,を,用いる,jnlp
汎化,を,行わない,jnlp
場合,に,比べる,jnlp
精度,が,向上する,jnlp
数,が,越える,jnlp
200,を,越える,jnlp
精度,を,表す,jnlp
汎化,を,行わない,jnlp
200,を,越える,jnlp
フレーム,に,比べる,jnlp
ポイント,と,低下する,jnlp
こと,が,分かる,jnlp
役割,を,汎化する,jnlp
ラベル,に,汎化する,jnlp
役割,を,分類する,jnlp
情報,に,基づく,jnlp
研究,が,進められる,jnlp
読み手,を,仮定する,jnlp
記事,に,現れる,jnlp
構造,を,決定する,jnlp
中,を,走査する,jnlp
テンプレート,を,用いる,jnlp
情報,を,抽出する,jnlp
解析,を,行う,jnlp
ページ,を,含む,jnlp
ページ,を,含まない,jnlp
両者,を,マージする,jnlp
傾向,に,ある,jnlp
ページ,を,含む,jnlp
ベクトル,を,用いる,jnlp
計算,を,行う,jnlp
こと,で,防ぐ,jnlp
傾向,を,防ぐ,jnlp
変動,を,押さえる,jnlp
データ,を,作成する,jnlp
音声,を,聞く,jnlp
人手,で,行う,jnlp
作業,を,行う,jnlp
信頼度,に,基づく,jnlp
文,を,抽出する,jnlp
精度,を,求める,jnlp
ドメイン,を,得る,jnlp
情報検索,を,する,jnlp
はじめ,と,する,jnlp
タスク,を,実現する,jnlp
認識,を,介する,jnlp
期待,が,高まる,jnlp
操作,に,しない,jnlp
熟練,を,しない,jnlp
必要,と,しない,jnlp
入力,に,比べる,jnlp
入力,に,比べる,jnlp
器官,を,使う,jnlp
同時,に,使う,jnlp
利点,を,有する,jnlp
削減,に,繋がる,jnlp
結果,を,示す,jnlp
5,に,示す,jnlp
詞,が,掛かる,jnlp
名詞,に,掛かる,jnlp
係り受け,が,ある,jnlp
フレーム,が,構築される,jnlp
関係,に,ある,jnlp
名詞,を,形成する,jnlp
形,を,取る,jnlp
原因,を,示す,jnlp
以下,に,示す,jnlp
問題,に,基づく,jnlp
中,に,出現する,jnlp
辞書,に,登録される,jnlp
点,で,異なる,jnlp
英語,を,利用する,jnlp
辞書,を,利用する,jnlp
辞書,を,作成する,jnlp
方法,を,提案する,jnlp
対象,と,する,jnlp
辞書,が,存在しない,jnlp
状況,を,想定する,jnlp
辞書,から,得られる,jnlp
情報,を,考慮する,jnlp
論文,で,提案する,jnlp
辞書,から,得られる,jnlp
情報,を,利用する,jnlp
辞書,に,登録される,jnlp
未知語,を,する,jnlp
対象,と,する,jnlp
推定,を,行う,jnlp
辞書,から,得られる,jnlp
情報,を,用いる,jnlp
タスク,と,類似する,jnlp
推定,に,特化する,jnlp
検討,が,される,jnlp
拡充,を,行う,jnlp
推定,を,行う,jnlp
必要,が,生じる,jnlp
節,で,議論する,jnlp
本,を,ヨム,jnlp
一緒,に,追体験する,jnlp
留学,を,追体験する,jnlp
一緒,に,歩く,jnlp
情景,に,従う,jnlp
何,を,考える,jnlp
足取り,を,追う,jnlp
資料,を,収集する,jnlp
こと,に,変わる,jnlp
2,に,示す,jnlp
データ,を,結合する,jnlp
方式,を,採用する,jnlp
全て,を,保持する,jnlp
形式,で,保持する,jnlp
レベル,と,呼ぶ,jnlp
対応,が,取られる,jnlp
此れ,を,呼ぶ,jnlp
リンケージ,と,呼ぶ,jnlp
解釈,を,内包する,jnlp
解釈,を,内包する,jnlp
知識,が,存在する,jnlp
解釈,を,制限する,jnlp
優先度,を,設定する,jnlp
実現,を,狙う,jnlp
手法,を,採用する,jnlp
対訳,が,ある,jnlp
出願,と,外国出願する,jnlp
対訳,が,ある,jnlp
コーパス,を,作成する,jnlp
手法,を,適用する,jnlp
対応,を,取る,jnlp
対応,を,考慮しない,jnlp
技術,を,利用する,jnlp
研究,で,使用する,jnlp
接続詞,で,繋がる,jnlp
我々,が,収集する,jnlp
文書,から,収集する,jnlp
事例,を,収集する,jnlp
ウェブ,から,抽出する,jnlp
接続詞,を,含む,jnlp
文,を,抽出する,jnlp
方法,を,提案する,jnlp
コーパス,から,抽出する,jnlp
接続詞,で,繋がる,jnlp
組,を,抽出する,jnlp
システム,を,実現する,jnlp
割合,を,示す,jnlp
%,が,判断される,jnlp
応答,から,読み取る,jnlp
時,に,指定する,jnlp
ラベル,と,一致する,jnlp
応答,から,読み取る,jnlp
応答,から,読み取る,jnlp
番目,に,読み取る,jnlp
ラベル,と,一致する,jnlp
割合,を,表す,jnlp
無理,が,ある,jnlp
表出,に,成功する,jnlp
半数,に,留まる,jnlp
ワーカー,が,作る,jnlp
実際,に,作る,jnlp
応答,を,作る,jnlp
割合,で,成功する,jnlp
表出,に,成功する,jnlp
時,に,指定する,jnlp
応答,に,表出する,jnlp
相関,を,確かめる,jnlp
係数,を,算出する,jnlp
時,に,指定する,jnlp
表出,が,認められる,jnlp
相関,が,認められる,jnlp
結果,と,なる,jnlp
立場,を,取る,jnlp
表現,と,認める,jnlp
表現,と,認める,jnlp
こと,を,保留する,jnlp
表現,を,認める,jnlp
構成要素,に,分割する,jnlp
各々,を,見なす,jnlp
発話,で,発話する,jnlp
類,を,並べる,jnlp
関係,を,調べる,jnlp
こと,が,考えられる,jnlp
課題,と,する,jnlp
役割,が,写像される,jnlp
役割,に,写像される,jnlp
中,に,出現する,jnlp
%,に,当たる,jnlp
構造,が,写像される,jnlp
役割,を,用いる,jnlp
アノテーション,に,写像される,jnlp
表現,が,ある,jnlp
表現,に,置き換える,jnlp
語句,に,ならない,jnlp
クルール,を,併用する,jnlp
タグ,を,用いる,jnlp
属性,を,参照する,jnlp
タグ,を,用いる,jnlp
基盤,と,なる,jnlp
画面,を,生成する,jnlp
必要,と,なる,jnlp
文,から,取り出す,jnlp
文内,に,言語表現される,jnlp
解析,を,行う,jnlp
情報,を,取り出す,jnlp
内,に,保持される,jnlp
辞書,と,照合する,jnlp
次,に,特定する,jnlp
動詞,と,承る,jnlp
特徴,から,特定する,jnlp
クラス,を,特定する,jnlp
アルゴリズム,を,示す,jnlp
相,を,表す,jnlp
内,に,含まれる,jnlp
基,に,特定する,jnlp
クラス,を,特定する,jnlp
1,に,示す,jnlp
制限,に,基づく,jnlp
動詞,に,後続する,jnlp
解析,を,する,jnlp
データ,を,収集する,jnlp
枝,に,表示する,jnlp
例,を,表す,jnlp
例,を,用いる,jnlp
中,に,見つからない,jnlp
絶対,に,言えない,jnlp
例,を,用いず,jnlp
知識,を,獲得する,jnlp
手法,を,確立する,jnlp
必要,が,ある,jnlp
先,に,述べる,jnlp
持続性,を,表すa,jnlp
動詞,に,承接する,jnlp
可能性,が,ある,jnlp
ダイエット,で,ダイエット出来る,jnlp
言明,と,する,jnlp
要約,を,する,jnlp
中心,と,する,jnlp
例,を,示す,jnlp
文書,から,抽出される,jnlp
言明,を,肯定する,jnlp
満腹感,が,ある,jnlp
記述,が,存在する,jnlp
上,に,存在する,jnlp
関係,に,ある,jnlp
記述,を,表示する,jnlp
内,に,表示する,jnlp
上,に,存在する,jnlp
文書,から,抜粋される,jnlp
こと,を,示す,jnlp
記述,が,存在する,jnlp
記述,を,抜粋する,jnlp
単位,で,抜粋する,jnlp
中核,と,なるp,jnlp
記述,を,生成する,jnlp
目的,と,する,jnlp
構築,を,行う,jnlp
こと,と,する,jnlp
意味,で,存在しない,jnlp
モデル,が,存在しない,jnlp
評価時,に,存在しない,jnlp
此処,に,分類される,jnlp
風,が,吹く,jnlp
中,で,伝わる,jnlp
重り,を,吊るす,jnlp
糸,を,用いる,jnlp
モデル,を,拡張する,jnlp
こと,で,なる,jnlp
表現,が,なる,jnlp
抽象化,を,する,jnlp
